RUNGE-KUTTA METHOD
Rho(c)          R               M               Last Rho
1.00e-01        2.85e+00        2.48e-01        1.00e-02
1.00e+00        2.31e+00        7.03e-01        1.00e-02
1.00e+01        1.55e+00        1.30e+00        1.00e-02
1.00e+02        9.42e-01        1.74e+00        1.01e-02
1.00e+03        5.30e-01        1.93e+00        1.03e-02
1.00e+04        2.78e-01        2.00e+00        1.07e-02
1.00e+05        1.39e-01        2.01e+00        1.33e-02
1.00e+06        6.66e-02        2.02e+00        4.27e-02

EULER METHOD
Rho(c)          R               M               Last Rho
1.00e-01        3.52e+00        2.79e-01        1.00e-03
1.00e+00        2.45e+00        7.07e-01        1.00e-03
1.00e+01        1.58e+00        1.30e+00        1.01e-03
1.00e+02        9.51e-01        1.74e+00        1.02e-03
1.00e+03        5.32e-01        1.93e+00        1.02e-03
1.00e+04        2.78e-01        2.00e+00        1.15e-03
1.00e+05        1.37e-01        2.01e+00        7.32e-03
1.00e+06        6.53e-02        2.01e+00        3.88e-02
